NHU CẦU & SL ĐÁP ỨNG - ĐƠN HÀNG,,,,,,,
NGÀY NHẬN ĐH,Ngày triển khai,Số ĐH,Mã Khách Hàng,Tên Khách Hàng,Mã SP,SL đơn hàng,NGÀY Yêu cầu hoàn thành
5/4/2023,5/4/2023,118/23XK,0468/GERMAN,ALISA NAILS SUSLOV GBR,KD2-1678,  500 ,7/8/2023
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0049,  5.000 ,HỦY
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0050,  2.500 ,6/27/2023
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0051,  2.500 ,6/27/2023
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1465,  2.500 ,6/27/2023
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1583,  2.500 ,6/27/2023
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1643,  2.500 ,6/27/2023
4/27/2023,5/5/2023,119/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1696,  2.500 ,6/27/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0049,  5.000 ,HỦY
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0050,  2.500 ,7/15/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0051,  2.500 ,7/15/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-0575,  3.000 ,7/15/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1465,  2.500 ,7/15/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1583,  2.500 ,7/15/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1643,  2.500 ,7/15/2023
4/27/2023,5/5/2023,120/23XK,0079/RUSSIA,Vectorgroup Company,KD2-1696,  2.500 ,7/15/2023
5/9/2023,5/11/2023,121/23XK,0474/ ITALIA ,ZETAQUADRO SRL,C.07-14,  1.200 ,6/19/2023
5/9/2023,5/11/2023,121/23XK,0474/ ITALIA ,ZETAQUADRO SRL,NC.02,  1.200 ,6/19/2023
5/9/2023,5/23/2023,121/23XK,0474/ ITALIA ,ZETAQUADRO SRL,NL.201,  120 ,6/27/2023
5/9/2023,5/11/2023,121/23XK,0474/ ITALIA ,ZETAQUADRO SRL,P.08,  600 ,6/19/2023
5/9/2023,5/11/2023,121/23XK,0474/ ITALIA ,ZETAQUADRO SRL,T.04,  120 ,6/19/2023
5/10/2023,5/11/2023,122/23XK,0327/KOREA,BEAUTY H,KD2-0742,  1.000 ,7/13/2023
5/10/2023,5/11/2023,123/23XK,0241/UAE,BEDASHING BEAUTY LOUNGE LLC,KD2-0339,  4.600 ,7/14/2023
5/10/2023,5/11/2023,123/23XK,0241/UAE,BEDASHING BEAUTY LOUNGE LLC,KSB-1488,  1.300 ,6/21/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KD2-1665,  500 ,7/14/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSB-1670,  500 ,6/25/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSK-1666,  500 ,6/25/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSK-1667,  500 ,6/25/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSN-1671,  500 ,6/25/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSN-1672,  500 ,6/25/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSS-1668,  500 ,6/25/2023
5/10/2023,5/11/2023,124/23XK,0472/LITHUNIA,UAB KRINONA,KSS-1669,  500 ,6/25/2023
5/10/2023,5/11/2023,125/23xk,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KDT-0299,  1.000 ,6/30/2023
5/10/2023,5/11/2023,125/23xk,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KSS-0295,  300 ,6/30/2023
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1701,  500 ,HỦY
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1702,  500 ,HỦY
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1703,  500 ,HỦY
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1704,  500 ,HỦY
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1705,  500 ,HỦY
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1706,  500 ,HỦY
5/9/2023,5/11/2023,126/23XK,0442/MOLDOVA,GOLUB STIL,KSK-1707,  500 ,HỦY
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.03-12,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.04-12,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.05-12,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.06-12,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.06-14,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.07-12,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.07-14,  180 ,6/25/2023
5/15/2023,5/17/2023,127/23XK,0201/SING,TRUE BLUE BEAUTY PRIVATE LIMITED,C.112,  420 ,6/25/2023
5/13/2023,5/13/2023,127/23xk,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,S.507NC,  360 ,5/20/2023
5/15/2023,5/17/2023,128/23XK,0026/GERMANY,ZWILLING Beauty Group GmbH,KD2-0211,  2.000 ,10/14/2023
5/15/2023,5/17/2023,128/23XK,0026/GERMANY,ZWILLING Beauty Group GmbH,KM2-0212,  2.000 ,10/14/2023
5/15/2023,5/17/2023,128/23XK,0026/GERMANY,ZWILLING Beauty Group GmbH,KSS-0367,  8.500 ,8/14/2023
5/15/2023,5/17/2023,129/23XK,0002/ITALY,ALPEN DEI F.LLI GIANOLA SNC,KD2-0005,  500 ,7/21/2023
5/15/2023,5/17/2023,129/23XK,0002/ITALY,ALPEN DEI F.LLI GIANOLA SNC,KD2-0006,  500 ,7/21/2023
5/15/2023,5/17/2023,129/23XK,0002/ITALY,ALPEN DEI F.LLI GIANOLA SNC,KD2-0007,  1.000 ,7/21/2023
5/15/2023,5/17/2023,129/23XK,0002/ITALY,ALPEN DEI F.LLI GIANOLA SNC,KD3-0012,  500 ,7/21/2023
5/18/2023,5/18/2023,130/23xk,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,B.902NC,  2.160 ,6/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,B.901NC,  3.600 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.03-12NC,  1.800 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.05-12NC,  360 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.05-14NC,  360 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.05V-12NC,  360 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.05V-14NC,  360 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.07-12NC,  7.200 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.07-3.5NC,  3.600 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.18NC,  60 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.27NC,  1.080 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.28NC,  1.800 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,D.501NC,  5.040 ,7/20/2023
5/18/2023,5/18/2023,131/23XK,0425/CHINA,Guangzhou Xingdian Nail Products Company Limited,S.507NC,  720 ,7/15/2023
5/18/2023,5/23/2023,132/23XK,0467/POLAND,NAIL4U,KD2-1673,  1.000 ,7/18/2023
5/18/2023,5/23/2023,132/23XK,0467/POLAND,NAIL4U,KD2-1674,  1.000 ,7/18/2023
5/18/2023,5/30/2023,132/23XK,0467/POLAND,NAIL4U,KSK-1675,  1.000 ,7/18/2023
